sex,education,marital_status,region,employment_status,employment_type,h19_pers_income1,h19_pers_income2,h19_pers_income4,h19_cin,h19_din,debt_financial,debt_private,debt_card,debt_lease,debt_credit,debt_other,housing_debt_balance,housing_tenure,age,total_debt
1.0,5.0,5.0,2.0,2.0,1.0,3769.0,325.0,0.0,6023.0,5783.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,3.0,31.0,1000.0
2.0,7.0,5.0,3.0,9.0,1.0,3769.0,400.0,0.0,10267.0,9163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0
1.0,6.0,5.0,3.0,1.0,1.0,4710.0,1440.0,0.0,8590.0,7594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,29.0,0.0
2.0,7.0,1.0,2.0,1.0,1.0,4279.0,1440.0,0.0,7789.0,5281.0,41443.0,0.0,4000.0,0.0,0.0,0.0,41443.0,1.0,38.0,45443.0
1.0,6.0,1.0,3.0,3.0,1.0,3769.0,5100.0,0.0,7960.0,7336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,0.0
2.0,7.0,1.0,2.0,1.0,1.0,3444.0,1440.0,0.0,7020.0,6072.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,2.0,33.0,10000.0
1.0,5.0,1.0,5.0,6.0,1.0,3769.0,1440.0,0.0,4940.0,4172.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,31.0,1000.0
2.0,6.0,5.0,3.0,1.0,1.0,2660.0,1440.0,0.0,8003.0,7103.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,31.0,7000.0
2.0,6.0,5.0,2.0,1.0,1.0,3233.0,1440.0,0.0,11210.0,10322.0,12425.0,0.0,220.0,0.0,0.0,0.0,12425.0,1.0,28.0,12645.0
2.0,7.0,5.0,3.0,3.0,1.0,3769.0,1050.0,0.0,49620.0,47244.0,20000.0,0.0,0.0,1000.0,0.0,0.0,10000.0,1.0,24.0,21000.0
2.0,7.0,5.0,2.0,9.0,1.0,3769.0,462.0,0.0,3342.0,3330.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23.0,750.0
2.0,6.0,5.0,3.0,1.0,1.0,3120.0,1440.0,0.0,11484.0,9984.0,9000.0,0.0,0.0,0.0,0.0,0.0,9000.0,1.0,27.0,9000.0
1.0,7.0,5.0,2.0,9.0,1.0,3769.0,960.0,0.0,9768.0,9072.0,17265.0,5000.0,70.0,1000.0,0.0,0.0,11615.0,1.0,28.0,23335.0
1.0,5.0,5.0,1.0,2.0,1.0,1248.0,270.0,0.0,12104.0,11060.0,2400.0,4600.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,7000.0
2.0,7.0,1.0,3.0,1.0,1.0,2766.0,1440.0,0.0,8489.0,7397.0,21820.0,0.0,0.0,0.0,0.0,0.0,18320.0,1.0,36.0,21820.0
1.0,6.0,1.0,4.0,1.0,1.0,4724.0,1440.0,0.0,6300.0,5820.0,14766.0,0.0,0.0,0.0,0.0,0.0,14766.0,1.0,34.0,14766.0
2.0,7.0,1.0,3.0,1.0,1.0,4204.0,1440.0,0.0,10578.0,9198.0,19999.0,0.0,0.0,0.0,0.0,0.0,19999.0,1.0,34.0,19999.0
2.0,6.0,1.0,3.0,2.0,3.0,3769.0,1120.0,0.0,7425.0,7209.0,3365.0,0.0,0.0,0.0,0.0,0.0,3365.0,1.0,34.0,3365.0
2.0,7.0,1.0,4.0,6.0,1.0,3769.0,1440.0,0.0,3104.0,3068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0
1.0,5.0,5.0,2.0,9.0,1.0,3769.0,180.0,0.0,8420.0,8254.4,2200.0,0.0,150.0,0.0,0.0,0.0,2200.0,1.0,22.0,2350.0
2.0,7.0,5.0,2.0,1.0,1.0,3830.0,1440.0,0.0,3950.0,3542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.0,0.0
1.0,7.0,5.0,2.0,9.0,1.0,3769.0,1080.0,0.0,14347.0,12631.0,3000.0,0.0,500.0,700.0,0.0,0.0,0.0,1.0,22.0,4200.0
1.0,7.0,5.0,3.0,9.0,1.0,3769.0,480.0,0.0,11098.0,8230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,0.0
1.0,6.0,5.0,2.0,1.0,1.0,3120.0,1440.0,0.0,3170.0,2882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,0.0
1.0,6.0,5.0,2.0,1.0,1.0,6280.0,1440.0,0.0,13224.0,12084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0
