h19_pid,p19_wgc,sex,h19_g4,education,marital_status,region,employment_status,employment_type,h19_pers_income1,h19_pers_income2,h19_pers_income3,h19_pers_income4,h19_pers_income5,h19_cin,h19_din,debt_financial,debt_private,debt_card,debt_lease,debt_credit,debt_other,h1909_aq7,h1909_aq8,h1906_aq2,housing_debt_balance,h1906_10,housing_tenure,age,total_income,total_debt,annual_interest,annual_repayment,annual_debt_service,dsr_raw,dsr,debt_crisis
28404,2660.8936293566358,1,1997,5,5,1,4.0,1.0,,1752.0,,0,,2034.0,1958.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3,27,1752.0,0,0.0,0.0,0.0,0.0,0.0,0
28504,10220.427492844443,2,1993,6,5,1,1.0,1.0,3420.0,,,0,,9284.0,8804.0,2100,0,0,0,0,0,0.0,300.0,0.0,0.0,1.0,3,31,3420.0,2100,300.0,0.0,300.0,0.08771929824561403,0.08771929824561403,0
28505,7451.117572490498,2,2000,6,5,1,9.0,,,450.0,,0,,9284.0,8804.0,2100,0,0,0,0,0,0.0,300.0,0.0,0.0,1.0,3,24,450.0,2100,300.0,0.0,300.0,0.6666666666666666,0.6666666666666666,1
28551,9871.089759387922,1,1986,6,1,1,1.0,1.0,4498.0,,,0,,5058.0,4686.0,11000,0,0,0,0,0,210.0,240.0,870.0,10000.0,1.0,1,38,4498.0,11000,450.0,870.0,1320.0,0.2934637616718542,0.2934637616718542,0
28604,13876.0406906866,2,2003,7,5,1,9.0,,,160.0,,0,,9000.0,8004.0,11808,0,0,0,0,0,61.0,600.0,192.0,1808.0,1.0,2,21,160.0,11808,661.0,192.0,853.0,5.33125,5.0,1
29203,9496.103392975247,1,1990,7,5,1,1.0,1.0,5440.0,,,0,,5640.0,4860.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3,34,5440.0,0,0.0,0.0,0.0,0.0,0.0,0
29351,9365.615010852873,2,1986,7,1,1,1.0,1.0,6160.0,,,0,,15526.0,12958.0,17400,0,0,0,0,0,480.0,0.0,600.0,17400.0,1.0,1,38,6160.0,17400,480.0,600.0,1080.0,0.17532467532467533,0.17532467532467533,0
31103,9490.154532688292,1,1998,5,5,1,2.0,1.0,,3144.0,,0,,47110.0,45646.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,26,3144.0,0,0.0,0.0,0.0,0.0,0.0,0
31104,7708.202258909401,2,1999,7,5,1,2.0,1.0,,3080.0,,0,,47110.0,45646.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,25,3080.0,0,0.0,0.0,0.0,0.0,0.0,0
31303,6417.173712576565,2,1997,7,5,3,2.0,1.0,,2692.0,,0,,12200.0,11216.0,3400,0,0,0,0,0,0.0,0.0,,,,6,27,2692.0,3400,0.0,0.0,0.0,0.0,0.0,0
31304,8015.448404744483,1,1999,8,5,3,2.0,1.0,,1860.0,,0,,12200.0,11216.0,3400,0,0,0,0,0,0.0,0.0,,,,6,25,1860.0,3400,0.0,0.0,0.0,0.0,0.0,0
32804,10051.507439091496,2,1987,7,5,3,1.0,1.0,3572.0,,,0,,9613.0,9217.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,37,3572.0,0,0.0,0.0,0.0,0.0,0.0,0
34503,9565.621244394852,2,2000,5,5,1,1.0,1.0,2931.0,,,0,,8381.0,7733.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,24,2931.0,0,0.0,0.0,0.0,0.0,0.0,0
34504,11311.778734628107,2,2002,5,5,1,2.0,1.0,,1146.0,,0,,8381.0,7733.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,22,1146.0,0,0.0,0.0,0.0,0.0,0.0,0
35603,6079.631453358233,2,1990,6,5,1,1.0,1.0,2685.0,,,0,,5531.0,4943.0,10000,0,0,0,0,0,0.0,46.0,0.0,0.0,1.0,1,34,2685.0,10000,46.0,0.0,46.0,0.01713221601489758,0.01713221601489758,0
35604,9894.014011129873,1,1991,7,5,1,1.0,1.0,5974.0,,,0,,5974.0,5050.0,33800,0,0,0,0,0,420.0,0.0,1200.0,33800.0,1.0,1,33,5974.0,33800,420.0,1200.0,1620.0,0.2711750920656177,0.2711750920656177,0
37603,4106.956060666196,2,2000,7,5,3,1.0,1.0,2770.0,,,0,,20319.0,15507.0,1904,0,0,0,0,0,72.0,0.0,96.0,1904.0,1.0,1,24,2770.0,1904,72.0,96.0,168.0,0.06064981949458484,0.06064981949458484,0
37804,10796.081847949281,2,2002,6,5,1,8.0,,,660.0,,0,,12354.0,9654.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,22,660.0,0,0.0,0.0,0.0,0.0,0.0,0
39404,9212.581213234713,1,1990,7,5,1,6.0,,,,5408.0,0,,8556.0,7896.0,4500,0,0,0,0,0,144.0,0.0,500.0,4500.0,1.0,1,34,5408.0,4500,144.0,500.0,644.0,0.11908284023668639,0.11908284023668639,0
39403,8306.652716296987,2,1986,7,5,3,1.0,1.0,7050.0,,,120,,7267.0,6031.0,13600,0,0,0,0,0,432.0,0.0,0.0,13600.0,1.0,2,38,7170.0,13600,432.0,0.0,432.0,0.0602510460251046,0.0602510460251046,0
41305,12492.358196642703,1,1993,6,5,1,1.0,1.0,3352.0,,,0,,7374.0,6774.0,17500,0,0,0,0,0,912.0,56.0,0.0,16000.0,1.0,2,31,3352.0,17500,968.0,0.0,968.0,0.28878281622911695,0.28878281622911695,0
42003,6858.818858292543,1,1995,5,5,1,2.0,1.0,,600.0,,0,,6141.0,5793.0,300,0,0,0,0,0,0.0,14.0,0.0,0.0,1.0,2,29,600.0,300,14.0,0.0,14.0,0.023333333333333334,0.023333333333333334,0
42004,7460.191094425289,2,1999,5,5,1,1.0,1.0,3263.0,,,0,,6141.0,5793.0,300,0,0,0,0,0,0.0,14.0,0.0,0.0,1.0,2,25,3263.0,300,14.0,0.0,14.0,0.004290530186944529,0.004290530186944529,0
42303,11764.587090389272,2,1995,7,5,1,1.0,1.0,3328.0,,,0,,3400.0,3100.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2,29,3328.0,0,0.0,0.0,0.0,0.0,0.0,0
43202,9365.615010852873,2,1986,5,5,1,2.0,3.0,,3600.0,,0,,6427.0,5851.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3,38,3600.0,0,0.0,0.0,0.0,0.0,0.0,0
43604,9521.273360318899,1,1988,5,5,3,1.0,1.0,3820.0,,,0,,8706.0,8046.0,16443,0,270,0,0,0,535.0,0.0,269.0,16443.0,1.0,1,36,3820.0,16713,535.0,269.0,804.0,0.21047120418848167,0.21047120418848167,0
44203,8885.388890643773,2,1991,7,5,1,3.0,1.0,,755.0,,0,,7276.0,6988.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3,33,755.0,0,0.0,0.0,0.0,0.0,0.0,0
44204,6858.818858292543,1,1994,7,5,1,8.0,,,2826.0,,0,,7276.0,6988.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3,30,2826.0,0,0.0,0.0,0.0,0.0,0.0,0
44503,13233.64533442455,2,1992,7,5,1,1.0,1.0,3590.0,,,0,,13540.0,12532.0,0,0,0,3000,0,0,0.0,0.0,0.0,0.0,1.0,1,32,3590.0,3000,0.0,0.0,0.0,0.0,0.0,0
44504,10889.701971860273,2,1996,7,5,2,1.0,1.0,4954.0,,,0,,5285.0,4469.0,0,0,0,0,0,5000,0.0,0.0,0.0,0.0,1.0,2,28,4954.0,5000,0.0,0.0,0.0,0.0,0.0,0
44603,7549.711973745912,1,1990,5,5,2,2.0,1.0,,1440.0,,0,,12816.0,11640.0,7000,0,0,0,0,0,403.0,0.0,0.0,7000.0,1.0,2,34,1440.0,7000,403.0,0.0,403.0,0.2798611111111111,0.2798611111111111,0
45702,8254.752178628345,2,1992,6,5,1,2.0,1.0,,3018.0,,0,,5591.0,5295.8,860,0,0,0,0,8400,0.0,6.0,0.0,0.0,1.0,3,32,3018.0,9260,6.0,0.0,6.0,0.0019880715705765406,0.0019880715705765406,0
45703,10222.73597878838,2,1995,6,5,1,3.0,1.0,,92.0,,0,,5591.0,5295.8,860,0,0,0,0,8400,0.0,6.0,0.0,0.0,1.0,3,29,92.0,9260,6.0,0.0,6.0,0.06521739130434782,0.06521739130434782,0
46603,4339.620215908914,2,1988,8,1,1,1.0,1.0,7190.0,,,0,,21751.0,18895.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2,36,7190.0,0,0.0,0.0,0.0,0.0,0.0,0
46803,4145.044894062389,2,1995,7,5,3,1.0,1.0,7300.0,,,0,,14764.0,13276.0,0,0,0,40500,0,0,0.0,0.0,0.0,0.0,1.0,1,29,7300.0,40500,0.0,0.0,0.0,0.0,0.0,0
46804,4052.034131533989,2,1995,5,5,1,1.0,1.0,3840.0,,,0,,4000.0,3616.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3,29,3840.0,0,0.0,0.0,0.0,0.0,0.0,0
46903,5392.33255127729,1,1998,8,5,1,2.0,1.0,,1155.0,,0,,8755.0,7831.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2,26,1155.0,0,0.0,0.0,0.0,0.0,0.0,0
46904,5430.674824734816,1,2001,5,5,1,2.0,1.0,,2790.0,,0,,8755.0,7831.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2,23,2790.0,0,0.0,0.0,0.0,0.0,0.0,0
47203,14628.303247599926,2,1993,6,5,1,1.0,1.0,2640.0,,,0,,7568.0,6932.0,28160,0,0,0,0,0,1740.0,180.0,240.0,26760.0,1.0,1,31,2640.0,28160,1920.0,240.0,2160.0,0.8181818181818182,0.8181818181818182,1
49803,11034.24957424631,1,2000,7,5,1,9.0,,,60.0,,0,,4908.0,4560.0,7000,0,0,0,0,0,600.0,0.0,5000.0,7000.0,1.0,1,24,60.0,7000,600.0,5000.0,5600.0,93.33333333333333,5.0,1
49903,12213.302328920528,2,1998,5,5,1,1.0,1.0,3740.0,,,0,,14444.0,12188.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,26,3740.0,0,0.0,0.0,0.0,0.0,0.0,0
50803,8274.709616883945,2,2001,6,5,1,1.0,1.0,3152.0,,,0,,12750.0,11754.0,0,0,0,2000,0,0,0.0,0.0,,,,5,23,3152.0,2000,0.0,0.0,0.0,0.0,0.0,0
50804,13408.208965966089,2,2003,6,5,1,2.0,1.0,,720.0,,0,,12750.0,11754.0,0,0,0,2000,0,0,0.0,0.0,,,,5,21,720.0,2000,0.0,0.0,0.0,0.0,0.0,0
51402,6000.148952157789,2,1990,6,1,3,9.0,,,240.0,,0,,15826.0,14770.0,16000,0,0,0,0,0,1116.0,0.0,0.0,16000.0,1.0,2,34,240.0,16000,1116.0,0.0,1116.0,4.65,4.65,1
51451,10594.000717886895,1,1986,7,1,3,1.0,1.0,5829.0,,8400.0,0,,15826.0,14770.0,16000,0,0,0,0,0,1116.0,0.0,0.0,16000.0,1.0,2,38,14229.0,16000,1116.0,0.0,1116.0,0.0784313725490196,0.0784313725490196,0
