magnitude_pct,crisis_rate_debt,crisis_rate_income
0.0,51.66666666666667,51.66666666666667
5.0,53.333333333333336,63.33333333333333
10.0,53.333333333333336,60.0
15.000000000000002,51.66666666666667,60.0
20.0,51.66666666666667,60.0
25.0,51.66666666666667,60.0
30.000000000000004,50.0,60.0
35.0,50.0,58.333333333333336
40.0,46.666666666666664,58.333333333333336
45.0,46.666666666666664,56.666666666666664
50.0,46.666666666666664,48.333333333333336
55.00000000000001,45.0,48.333333333333336
60.00000000000001,45.0,46.666666666666664
65.0,45.0,46.666666666666664
70.0,45.0,41.66666666666667
75.0,43.333333333333336,40.0
80.0,41.66666666666667,41.66666666666667
